"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6","CDSeq_estimated_cell_type_7","CDSeq_estimated_cell_type_8"
"FRMPD4",5.2004483942171e-05,1.35680055574551e-05,8.04232047753512e-05,0.000384214416116449,0.000801021641125639,2.39209269837625e-06,3.18763029438828e-06,4.68230556726132e-06
"GABRA2",5.97088519336038e-05,0.000154675263354988,5.54026521785753e-05,0.000144386309241213,0.000982267109988917,2.63130196821387e-05,1.38130646090159e-05,2.34115278363066e-05
"HBB",2.118701197644e-05,0.00260777066814287,2.68077349251171e-05,2.44722558035955e-06,0.00226973492329358,0.000107644171426931,0.00738786447896058,5.15053612398745e-05
"ERMN",1.92609199785819e-06,0.000518297812294784,0.000159059227222361,0.00274823432674377,0.000915602109947251,0.00114102821712547,1.06254343146276e-06,6.08699723743971e-05
"NRXN1",5.97088519336038e-05,1.35680055574551e-05,0.00114558387246667,0.000477208988170112,0.00819458680199662,0.00466697285453206,1.59381514719414e-05,1.4046916701784e-05
"ST8SIA3",4.04479319550219e-05,8.14080333447305e-06,5.36154698502341e-06,0.000555520206741617,0.00059894335974934,0.000562141784118418,7.43780402023933e-06,7.02345835089198e-05
"OLFM3",1.34826439850073e-05,6.24128255642934e-05,1.78718232834114e-06,0.000159069662723371,0.000836437422397773,5.50181320626537e-05,7.43780402023933e-06,4.68230556726132e-06
"GABRA5",9.63045998929093e-06,6.24128255642934e-05,1.96590056117525e-05,0.00037931996495573,0.000636442422272777,2.39209269837625e-06,1.16879777460904e-05,3.27761389708292e-05
"DCN",1.92609199785819e-06,0.000442316981173036,0.000137613039282268,0.00010523069995546,0.000717690391073556,0.000155486025394456,0.0099379687144712,0.00078194502973264
"NID2",6.35610359293201e-05,4.61312188953473e-05,5.36154698502341e-06,3.67083837053932e-05,7.29148437955718e-06,0.000179406952378219,0.00199651910771853,4.68230556726132e-06
"ACTA2",0.000325509547638033,0.000322918532267431,8.93591164170569e-06,9.54417976340223e-05,3.12492187695308e-06,2.63130196821387e-05,0.00469112924990809,0.000201339139392237
"HCN1",1.92609199785819e-06,4.07040166723652e-05,4.11051935518462e-05,7.09695418304268e-05,0.000769772422356108,2.39209269837625e-06,2.6563585786569e-05,3.27761389708292e-05
"HPCAL4",9.63045998929093e-06,1.35680055574551e-05,5.36154698502341e-06,0.000770876057813257,0.000826021016141263,5.98023174594062e-05,1.38130646090159e-05,4.21407501053519e-05
"SLN",0.00197424429780464,0.00113699886571474,1.78718232834114e-06,2.20250302232359e-05,1.56246093847654e-05,3.10972050788912e-05,0.000226321750901568,0.00172777075431943
"SNCA",2.50391959721564e-05,0.00021437448780779,1.78718232834114e-06,0.00294890682433325,0.00490091914368807,2.63130196821387e-05,0.000175319666191356,7.02345835089198e-05
"RTN1",4.04479319550219e-05,2.98496122264012e-05,8.93591164170569e-06,0.00470112033987069,0.00436551586210345,0.00098793428442939,2.6563585786569e-05,0.00028562063960294
"HIGD1B",3.65957479593055e-05,9.49760389021855e-05,1.60846409550702e-05,0.000159069662723371,0.000128121796955076,2.39209269837625e-06,0.00217077623047842,0.00010769302804701
"LOC100509105",0.00183941785795457,0.00159831105466821,1.78718232834114e-06,2.44722558035955e-06,1.04164062565103e-06,2.15288342853862e-05,0.000143443363247473,4.68230556726132e-06
"GABBR2",1.92609199785819e-06,4.07040166723652e-05,1.96590056117525e-05,0.00197001659218943,0.000673941484796213,0.000289443216503526,3.08137595124201e-05,0.00110970641944093
"GPR116",1.92609199785819e-06,0.000350054543382341,9.1146298745398e-05,0.000247169783616314,0.000423947734639967,0.000179406952378219,0.00456574912499548,0.000173245305988669
"ANGPT2",0.000206091843770826,0.00117498928127561,0.00137076884583765,2.44722558035955e-06,5.20820312825513e-06,0.000193759508568476,0.0109771361904418,0.000632111251580278
"NLGN4Y",0.000163717819817946,0.000122112050017096,0.00042356221181685,0.000212908625491281,7.39564844212228e-05,0.00070088316062424,7.1190409908005e-05,4.68230556726132e-06
"SERPINA3",1.92609199785819e-06,0.0252826215557618,0.0203184758909104,1.22361279017977e-05,1.04164062565103e-06,0.00707820229449532,1.38130646090159e-05,0.0224891136395561
"H19",0.00154279969028441,2.71360111149102e-06,0.000591557350680916,7.34167674107864e-06,3.12492187695308e-06,0.000356421812058061,0.000117942320892366,4.68230556726132e-06
"PHYHIP",6.74132199250365e-05,2.71360111149102e-06,8.93591164170569e-06,0.00185254976433218,0.000301034140813146,1.19604634918812e-05,3.29388463753456e-05,7.95991946434424e-05
"CRIP1",7.51175879164692e-05,3.52768144493832e-05,5.36154698502341e-06,5.62861883482696e-05,2.18744531386715e-05,1.19604634918812e-05,0.00169900694690895,0.000154516083719624
