	Tumor	Macrophage_Microglia	T_cell	NK_cell	B_cell	Endothelial	Oligodendrocyte	Astrocyte
ACOT1	13.51946228973602	3.0323411744425797	61.78308557029357	1.2221334222396925	0.0	2.148351206765183	4.129802704823345	16.234993012006324
ACOT11	10.891501220506688	5.566350396515227	0.15838283751170984	1.6471964979720803	0.0	0.2129684205518607	1.8976631878400843	76.82610648903677
ACOT12	1.0387367843962299	1.6467963398931977	0.0	0.08240691174421562	0.0	0.0	0.0053175326826559646	0.0
ACOT13	35.81694615439977	26.94309143383499	152.4274578836631	14.500521774683026	27.539091553869504	55.29425803282964	28.41136510474359	60.38776159998046
ACOT2	35.10253782276241	27.37601948262	10.635582321444634	2.646205750155035	0.5966534500163195	9.31732119776306	7.306989683573033	37.515694421693574
ACOT4	5.695985666774478	3.439753794037605	8.185752314910472	1778.269134987227	0.8454591225545153	0.4041632458172034	0.37341469867947025	13.720008621767882
ACOT6	2.3519519098071924	0.022897333977524678	0.352889802110963	0.0	0.0	0.0	0.0011668418096118219	14.365221093631284
ACOT7	81.65807321847149	69.3173389373011	28.026325064290273	4.59810134715813	0.8189182864075122	86.40936013116557	152.16264773679868	9.001878411260263
ACOT8	40.83404457910802	19.165819902624946	12.82360051678587	0.9853461537421955	2.6560284095598394	6.441344096495059	44.21712064698087	41.0857615751867
ACOT9	51.21613688062189	57.30388729368051	27.272271517433584	2.467553798180733	8.29603165121373	58.80592212964073	4.548918669815681	14.560894107624527
ACOX1	34.39336199305357	21.359385177426955	14.185068971766972	2.1865123736188297	4.148863162030969	29.45795849633996	18.977675928542965	91.95990577971472
ACOX2	16.631605878961764	0.497866787817706	10.696135191783277	0.0	0.8630798807555116	1.6613482339971597	0.9481415224645797	203.173973585964
ACOX3	17.043835042327654	13.910921338806874	23.762911827343828	0.3511030273574632	4.5800988000131895	9.990135718069805	12.402455087526098	7.2723676225301634
ACOXL	0.012773406827243339	0.00029109374023234496	0.0	0.0018731490440719622	0.0	0.0	5.439154061168016e-05	0.0
ACP1	175.67012520684602	84.11185126069729	169.58188399013383	15.684534024140408	145.38118118965883	87.92591648972764	102.34722439093824	10.768442286420278
ACP2	37.54811489665114	36.60617745776693	8.712724197332419	33.22760236808366	0.7655879279392312	8.990947904800034	32.27731608085407	25.045484190521265
ACP3	0.2688288531128097	21.79402907926658	0.09549608094120562	0.0	0.26082794046471214	0.24105992088650713	0.10193463550903153	0.0
ACP4	0.07136654333685842	0.08925374082280348	0.0035993459283709594	0.0	0.0	0.0	0.02575602408786147	0.0
ACP5	0.5985653631955196	19.717098386774563	86.21610218192286	21.925896010200272	67.76989108999086	0.8664793735545384	0.21671679978048922	0.028700214845540372
ACP6	18.692219055410654	4.192170655661128	5.3112977371026835	1.5672701405421094	2.2481368329227367	0.35823292935668233	4.043207151772672	14.692120786774662
ACP7	2.2005003310568556	2.678513745784946	7.066198987408103	0.0	0.0	0.7091326180036965	30.04407910505462	0.0
ACR	0.004662505809375474	7.263260808246404e-05	0.0	0.0	0.0	0.006059259314082979	0.00016285886071881436	0.0
ACRBP	1.8097881538574745	15.879279321395508	3.3347039134017744	0.0	0.5182882524578571	0.09910500683194429	0.07658172875304332	0.014771845888422484
ACRV1	2.4660667529279423	0.003503172566746874	0.0	0.0	0.0	0.0	0.0039274556847074425	0.0
ACSBG1	71.10911031884784	30.475129554226267	15.705912151440778	0.36925919953221314	1.5674372797402112	0.8325525221571066	3.576606360087121	625.905726818642
ACSBG2	0.20842195917448772	0.18475017831213855	0.09887356117721151	0.0	0.0	0.1514901478034849	0.07457421093068822	0.3063026122886633
ACSF2	9.488852638900196	15.634263193635588	2.2224048124024702	0.6358648928031604	0.6035550982503718	0.8518305941902146	0.21879734032719836	22.608428133653003
ACSF3	34.78885617528089	18.50038376073665	89.15409780182075	270.88241445220166	36.71116961187514	9.622109223217608	11.115025787601368	2.4772539520512344
ACSL1	31.49927853687575	755.0535054458967	15.876363991276621	17.26043132741418	111.18538585598093	8.730610436904719	244.22888467627862	12.58191369248681
ACSL3	93.01462963933935	85.19719393312964	23.428937790629465	54.017319469630195	17.25882672075733	113.9529024321212	92.67010735922898	147.91409227264361
ACSL4	13.095666052233508	43.277125482404884	30.183433682344507	1.3898218355142964	16.679222548905678	16.139628112804072	17.50156814888437	1.243427557692939
ACSL5	2.5193812980913357	43.02358208601775	116.7842295004836	5.343570074894686	42.71199061142825	1199.1857236784958	0.8646896078571974	0.2045957322648899
ACSL6	24.002441189604273	5.3627183058667685	28.42459305012845	12.13499993620554	3.277313737663853	1.0676679055873592	14.923324036625129	614.1409631827075
ACSM1	0.022535513729219542	0.001772418388417924	0.0010066274847963573	0.0028513184509830446	0.0	0.19714808318789456	0.5643314308581536	0.0
ACSM2A	5.94290767167828e-05	0.0	5.728362123958539e-06	0.0	0.0	0.0	0.0	0.0
ACSM3	0.057275377133696834	0.19581913862055722	0.0046338973424682834	0.011932479673747417	0.38832572250862907	0.0	0.0055438276607344674	0.0
